Library Source,Added,Title,Title Short,Series,Book Numbers,Blurb,Authors,Narrators,Tags,Categories,Parent Category,Child Category,Length,Progress,Release Date,Publishers,My Rating,Rating,Ratings,Favorite,Format,Language,Whispersync,From Plus Catalog,Unavailable,Archived,Downloaded,Store Page Changed,Store Page Missing,ASIN,ISBN10,ISBN13,Summary,People Also Bought,Store Page Url,Sample,Web Player,Cover,Search In Goodreads,Collection Ids,Subtitle,Podcast Parent,Is New
Main,348,Impossible Views of the World,Impossible Views of the World,,,"A witty, urbane, and sometimes shocking debut novel, set in a hallowed New York museum, in which a co-worker's disappearance and a mysterious map change a life forever Stella Krakus, a curator at Manhattan's renowned Central Museum of Art, is having the roughest week in approximately ever. Her...",Lucy Ives,Cassandra Campbell,,,,,9h 3m,,,,,,,,,,,,,,,,true,B0733VXTK3,,,,,https://audible.com/pd/B0733VXTK3?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0733VXTK3,https://m.media-amazon.com/images/I/41Hz73EISZL._SL500_.jpg,https://www.goodreads.com/search?q=Lucy%20Ives%20-%20Impossible%20Views%20of%20the%20World,,,,true
Main,347,The Iliad,The Iliad,,,The Illiad dates back to the 8th century BC and is Homer's epic precursor to The Odyssey....,"Homer, Edward Earl of Derby - translator",Dikran Tulaine,,,,,15h 26m,,,,,,,,,,,true,,,,,true,B007F0MYY8,,,,,https://audible.com/pd/B007F0MYY8?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B007F0MYY8,https://m.media-amazon.com/images/I/41lC7wvzOoL._SL500_.jpg,https://www.goodreads.com/search?q=Homer%20-%20The%20Iliad,__AYCL,,,true
Main,346,"When Everyone Knows That Everyone Knows . . .: Common Knowledge and the Mysteries of Money, Power, and Everyday Life","When Everyone Knows That Everyone Knows . . .: Common Knowledge and the Mysteries of Money, Power, and Everyday Life",,,"From one of the world’s most celebrated intellectuals, a “fascinating” (Financial Times), brilliantly insightful work that explains how we think about each other’s thoughts about each other’s thoughts, ad infinitum. It sounds impossible, but Steven Pinker shows that we do it all the...",Steven Pinker,Fred Sanders,,,,,,8h 50m left,,,,,,,,,,,,,,,true,B0DVH68VCL,,,,,https://audible.com/pd/B0DVH68VCL?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0DVH68VCL,https://m.media-amazon.com/images/I/51QxSTUsu2L._SL500_.jpg,https://www.goodreads.com/search?q=Steven%20Pinker%20-%20When%20Everyone%20Knows%20That%20Everyone%20Knows%20.%20.%20.%3A%20Common%20Knowledge%20and%20the%20Mysteries%20of%20Money%2C%20Power%2C%20and%20Everyday%20Life,,,,true
Main,345,"80,000 Hours: How to Have a Fulfilling Career That Does Good","80,000 Hours: How to Have a Fulfilling Career That Does Good",,,"NATIONAL BESTSELLER A ridiculously in-depth guide to finding a fulfilling, AI-proof career ""This career guide is among the most thoughtful and grounded I've seen.""—Cal Newport, New York Times bestselling author of Slow Productivity You have about 80,000 hours in your career: 40 hours a...",Benjamin Todd,Benjamin Todd,,,,,6h 53m,,,,,,,,,,,,,,,,true,B0GT8B34JC,,,,,https://audible.com/pd/B0GT8B34JC?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0GT8B34JC,https://m.media-amazon.com/images/I/41bQbaEsTQL._SL500_.jpg,https://www.goodreads.com/search?q=Benjamin%20Todd%20-%2080%2C000%20Hours%3A%20How%20to%20Have%20a%20Fulfilling%20Career%20That%20Does%20Good,,,,true
Main,344,Love in the Time of Cholera,Love in the Time of Cholera,,,"Audie Award Finalist, Classic, 2014 From the Nobel Prize-winning author of One Hundred Years of Solitude comes a masterly evocation of an unrequited passion so strong that it binds two people's lives together for more than half a century. In their youth, Florentino Ariza and Fermina Daza fall...",Gabriel García Márquez,Armando Durán,,,,,,10h 2m left,,,,,,,,,,,,,,,true,B00EFB9FQK,,,,,https://audible.com/pd/B00EFB9FQK?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B00EFB9FQK,https://m.media-amazon.com/images/I/41ylXjZUQYL._SL500_.jpg,https://www.goodreads.com/search?q=Gabriel%20Garc%C3%ADa%20M%C3%A1rquez%20-%20Love%20in%20the%20Time%20of%20Cholera,,,,true
Main,343,Growth of the Soil,Growth of the Soil,,,"Growth of the Soil, Hamsun's Nobel Prize winning novel, is a classic of Scandinavian literature. The farmer Isak scarcely acknowledges the values of modern living. Illiterate but capable of carrying out the business of running a farm, he has physical strength and works with his hands. Although...","Knut Hamsun, Sverre Lyngstad - translator, Brad Leithauser - introduction",BJ Harrison,,,,,,11h 9m left,,,,,,,,,,,,,,,true,1705247164,,,,,https://audible.com/pd/1705247164?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=1705247164,https://m.media-amazon.com/images/I/61OQtGr+frL._SL500_.jpg,https://www.goodreads.com/search?q=Knut%20Hamsun%20-%20Growth%20of%20the%20Soil,,,,true
Main,342,"History of Scandinavia: A Captivating Guide to the History of Sweden, Norway, Denmark, Iceland, and Finland","History of Scandinavia: A Captivating Guide to the History of Sweden, Norway, Denmark, Iceland, and Finland",,,Norway is a unique country located on the fringes of Europe. Its climate and geographical position determined the lifestyle of the people inhabiting it. It was never an easy life....,Captivating History,Jason Zenobia,,,,,,17h 21m left,,,,,,,,,,,,,,,true,B0CLX1JDCB,,,,,https://audible.com/pd/B0CLX1JDCB?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0CLX1JDCB,https://m.media-amazon.com/images/I/51yjdddUnRL._SL500_.jpg,https://www.goodreads.com/search?q=Captivating%20History%20-%20History%20of%20Scandinavia%3A%20A%20Captivating%20Guide%20to%20the%20History%20of%20Sweden%2C%20Norway%2C%20Denmark%2C%20Iceland%2C%20and%20Finland,,,,true
Main,341,Into the Wood Chipper: A Whistleblower's Account of How the Trump Administration Shredded USAID,Into the Wood Chipper: A Whistleblower's Account of How the Trump Administration Shredded USAID,,,"NEW YORK TIMES BESTSELLER “Propulsive…When the full history of this moment is ready to be written, Into the Wood Chipper will be a vivid source.” —The New York Times “A gripping page-turner that doubles as both a warning and an inspiration.” —Samantha Power, Pulitzer...","Nicholas Enrich, Atul Gawande - introduction",Nicholas Enrich,,,,,,4h 28m left,,,,,,,,,,,,,,,true,B0G6XWJ4KT,,,,,https://audible.com/pd/B0G6XWJ4KT?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0G6XWJ4KT,https://m.media-amazon.com/images/I/41IX-3DH6DL._SL500_.jpg,https://www.goodreads.com/search?q=Nicholas%20Enrich%20-%20Into%20the%20Wood%20Chipper%3A%20A%20Whistleblower's%20Account%20of%20How%20the%20Trump%20Administration%20Shredded%20USAID,,,,true
Main,340,The Invincible,The Invincible,,,"A space cruiser, in search of its sister ship, encounters beings descended from self-replicating machines. In the grand tradition of H. G. Wells and Jules Verne, Stanislaw Lem's The Invincible tells the story of a space cruiser sent to an obscure planet to determine the fate of a sister...",Stanisław Lem,Nick Sullivan,,,,,,6h 45m left,,,,,,,,,,,,,,,true,B0F5JN9QJ3,,,,,https://audible.com/pd/B0F5JN9QJ3?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0F5JN9QJ3,https://m.media-amazon.com/images/I/51VEf+R5vaL._SL500_.jpg,https://www.goodreads.com/search?q=Stanis%C5%82aw%20Lem%20-%20The%20Invincible,,,,true
Main,339,The Mattering Instinct: How Our Deepest Longing Drives Us and Divides Us,The Mattering Instinct: How Our Deepest Longing Drives Us and Divides Us,,,"MacArthur Fellow and National Humanities Medalist Rebecca Newberger Goldstein, author of Plato at the Googleplex and The Mind-Body Problem, returns with a revelatory book about the primal drive that in our species alone has been transformed into one of our most persistent and universal...",Rebecca Newberger Goldstein,Rebecca Kaser,,,,,9h 15m,,,,,,,,,,,,,,,,true,B0FVBC49CX,,,,,https://audible.com/pd/B0FVBC49CX?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0FVBC49CX,https://m.media-amazon.com/images/I/51hMHchSbyL._SL500_.jpg,https://www.goodreads.com/search?q=Rebecca%20Newberger%20Goldstein%20-%20The%20Mattering%20Instinct%3A%20How%20Our%20Deepest%20Longing%20Drives%20Us%20and%20Divides%20Us,,,,true
Main,338,The Diving Bell and the Butterfly: A Memoir of Life in Death,The Diving Bell and the Butterfly: A Memoir of Life in Death,,,"In 1995, Jean-Dominique Bauby was the editor-in-chief of French Elle, the father of two young childen, a 44-year-old man known and loved for his wit, his style, and his impassioned approach to life. By the end of the year he was also the victim of a rare kind of stroke to the brainstem. After 20...",Jean-Dominique Bauby,René Auberjonois,,,,,,30m left,,,,,,,,,,,,,,,true,B002V8MDFO,,,,,https://audible.com/pd/B002V8MDFO?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B002V8MDFO,https://m.media-amazon.com/images/I/51tQ2T9YjOL._SL500_.jpg,https://www.goodreads.com/search?q=Jean-Dominique%20Bauby%20-%20The%20Diving%20Bell%20and%20the%20Butterfly%3A%20A%20Memoir%20of%20Life%20in%20Death,,,,true
Main,337,Dept. of Speculation,Dept. of Speculation,,,"Dept. of Speculation is a portrait of a marriage. It is also a beguiling rumination on the mysteries of intimacy, trust, faith, knowledge, and the condition of universal shipwreck that unites us all. Jenny Offill’s heroine, referred to in these pages as simply “the wife,” once exchanged...",Jenny Offill,Jenny Offill,,,,,,1h 53m left,,,,,,,,,,,,,,,true,B09J1NR5SK,,,,,https://audible.com/pd/B09J1NR5SK?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B09J1NR5SK,https://m.media-amazon.com/images/I/51TQEoHwbiL._SL500_.jpg,https://www.goodreads.com/search?q=Jenny%20Offill%20-%20Dept.%20of%20Speculation,,,,true
Main,336,Thirteen: The Apollo Flight that Failed,Thirteen: The Apollo Flight that Failed,,,"On the evening of April 13, 1970, the three astronauts aboard Apollo 13 were just hours from the third lunar landing in history. But as they soared through space, 200,000 miles from Earth, an explosion badly damaged their spacecraft. With compromised engines and failing life-support systems, the...",Henry S. F. Cooper Jr.,Christopher David,,,,,,4h 58m left,,,,,,,,,,,,,,,true,1662069243,,,,,https://audible.com/pd/1662069243?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=1662069243,https://m.media-amazon.com/images/I/41j8UQa+wmL._SL500_.jpg,https://www.goodreads.com/search?q=Henry%20S.%20F.%20Cooper%20Jr.%20-%20Thirteen%3A%20The%20Apollo%20Flight%20that%20Failed,,,,true
Main,335,The Dispossessed: A Novel,The Dispossessed: A Novel,The Hainish Cycle (book 5),5,“One of the greats….Not just a science fiction writer; a literary icon.” – Stephen King From the brilliant and award-winning author Ursula K. Le Guin comes a classic tale of two planets torn apart by conflict and mistrust — and the man who risks everything to reunite them. A bleak moon...,Ursula K. Le Guin,Don Leslie,,,,,,Finished,,,,,,,,,,,,,,,true,B0041PD25K,,,,,https://audible.com/pd/B0041PD25K?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0041PD25K,https://m.media-amazon.com/images/I/31A2T4QasAL._SL500_.jpg,https://www.goodreads.com/search?q=Ursula%20K.%20Le%20Guin%20-%20The%20Dispossessed%3A%20A%20Novel,,,,true
Main,334,Living in Data: A Citizen's Guide to a Better Information Future,Living in Data: A Citizen's Guide to a Better Information Future,,,"In Living in Data, Thorp proves that thinking about data in a human context makes us better problem solvers and builds a healthier relationship between us and our data - one that puts our well-being front and center....",Jer Thorp,Charlie Thurston,,,,,,6h 18m left,,,,,,,,,,,,,,,true,1662084900,,,,,https://audible.com/pd/1662084900?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=1662084900,https://m.media-amazon.com/images/I/41iEqe9d8NS._SL500_.jpg,https://www.goodreads.com/search?q=Jer%20Thorp%20-%20Living%20in%20Data%3A%20A%20Citizen's%20Guide%20to%20a%20Better%20Information%20Future,,,,true
Main,333,Lovely One: A Memoir,Lovely One: A Memoir,,,"#1 NEW YORK TIMES BESTSELLER In her “vulnerable, tender, and infinitely inspirational” (Oprah Daily) memoir, the first Black woman to ever be appointed to the Supreme Court of the United States chronicles her extraordinary life story. “A billowingly triumphant American tale.”—The...",Ketanji Brown Jackson,Ketanji Brown Jackson,,,,,,8h 39m left,,,,,,,,,,,,,,,true,B0CTNRCY5N,,,,,https://audible.com/pd/B0CTNRCY5N?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0CTNRCY5N,https://m.media-amazon.com/images/I/41RzUxjCdnL._SL500_.jpg,https://www.goodreads.com/search?q=Ketanji%20Brown%20Jackson%20-%20Lovely%20One%3A%20A%20Memoir,,,,true
Main,332,Japanese Fairy Tales,Japanese Fairy Tales,,,"Here are 22 charming Japanese Fairy Tales, translated by Yei Theodora Ozaki....",Yei Theodora Ozaki - translator,Leslie Bellair,,,,,6h 32m,,,,,,,,,,,true,,,,,true,B00769V386,,,,,https://audible.com/pd/B00769V386?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B00769V386,https://m.media-amazon.com/images/I/41EGnNAs5VL._SL500_.jpg,https://www.goodreads.com/search?q=Yei%20Theodora%20Ozaki%20-%20translator%20-%20Japanese%20Fairy%20Tales,__AYCL,,,true
Main,331,"Project Maven: A Marine Colonel, His Team, and the Dawn of AI Warfare","Project Maven: A Marine Colonel, His Team, and the Dawn of AI Warfare",,,"The dramatic story of the secretive decade-long Pentagon campaign to bring AI-powered targeting systems onto the battlefield. In 2017, a small crew gathered in a windowless Pentagon room to put AI at the heart of how America makes war. Led by a Marine Corps colonel haunted by the deaths of US...",Katrina Manson,Katrina Manson,,,,,,12h 49m left,,,,,,,,,,,,,,,true,B0GD8L5JWN,,,,,https://audible.com/pd/B0GD8L5JWN?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0GD8L5JWN,https://m.media-amazon.com/images/I/515SRk8G3rL._SL500_.jpg,https://www.goodreads.com/search?q=Katrina%20Manson%20-%20Project%20Maven%3A%20A%20Marine%20Colonel%2C%20His%20Team%2C%20and%20the%20Dawn%20of%20AI%20Warfare,,,,true
Main,330,The Art of Dying Well: A Practical Guide to a Good End of Life,The Art of Dying Well: A Practical Guide to a Good End of Life,,,This “comforting…thoughtful” (The Washington Post) guide to maintaining a high quality of life—from resilient old age to the first inklings of a serious illness to the final breath—by the New York Times bestselling author of Knocking on Heaven’s Door is a “roadmap to the end that...,Katy Butler,Katy Butler,,,,,7h 38m,,,,,,,,,,,,,,,,true,1508281327,,,,,https://audible.com/pd/1508281327?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=1508281327,https://m.media-amazon.com/images/I/51HYo-JLHJL._SL500_.jpg,https://www.goodreads.com/search?q=Katy%20Butler%20-%20The%20Art%20of%20Dying%20Well%3A%20A%20Practical%20Guide%20to%20a%20Good%20End%20of%20Life,,,,true
Main,329,Mother Mary Comes to Me,Mother Mary Comes to Me,,,"Named One of The New York Times Book Review’s Top Ten Books of the Year Winner of the National Book Critics Circle Award for Autobiography | Finalist for the Kirkus Prize | Nominated for the Women's Prize for Nonfiction One of the best-reviewed books of the year, a raw and deeply moving memoir...",Arundhati Roy,Arundhati Roy,,,,,,11h 22m left,,,,,,,,,,,,,,,true,B0DVH3JMK8,,,,,https://audible.com/pd/B0DVH3JMK8?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0DVH3JMK8,https://m.media-amazon.com/images/I/41OdvTywSWL._SL500_.jpg,https://www.goodreads.com/search?q=Arundhati%20Roy%20-%20Mother%20Mary%20Comes%20to%20Me,,,,true
Main,328,"Nordic Tales: Folktales from Norway, Sweden, Finland, Iceland, and Denmark","Nordic Tales: Folktales from Norway, Sweden, Finland, Iceland, and Denmark",Tales (book 3),3,"Nordic Tales is a collection of 16 traditional tales from the enchanting world of Nordic folklore. Translated and transcribed by folklorists in the 19th century, these stories are at once magical, hilarious, cozy, and chilling. Welcome to a world of mystical adventure—where trolls haunt the...","Chronicle Books, Ulla Thynell","Allan Corduner, Juha Sorola",,,,,,2h 7m left,,,,,,,,,,,,,,,true,1797200038,,,,,https://audible.com/pd/1797200038?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=1797200038,https://m.media-amazon.com/images/I/51qd-j3cujL._SL500_.jpg,https://www.goodreads.com/search?q=Chronicle%20Books%20-%20Nordic%20Tales%3A%20Folktales%20from%20Norway%2C%20Sweden%2C%20Finland%2C%20Iceland%2C%20and%20Denmark,,,,true
Main,327,"They Thought They Were Free: The Germans, 1933-45","They Thought They Were Free: The Germans, 1933-45",,,"First published in 1955, They Thought They Were Free is an eloquent and provocative examination of the development of fascism in Germany. Milton Mayer's book is a study of 10 Germans and their lives from 1933-45, based on interviews he conducted after the war when he lived in Germany. Mayer had...",Milton Mayer,Michael Page,,,,,10h 22m,,,,,,,,,,,,,,,,true,B072F819J6,,,,,https://audible.com/pd/B072F819J6?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B072F819J6,https://m.media-amazon.com/images/I/51MgzGmvs7L._SL500_.jpg,https://www.goodreads.com/search?q=Milton%20Mayer%20-%20They%20Thought%20They%20Were%20Free%3A%20The%20Germans%2C%201933-45,,,,true
Main,326,The Five Invitations: Discovering What Death Can Teach Us About Living Fully,The Five Invitations: Discovering What Death Can Teach Us About Living Fully,,,"The cofounder of the Zen Hospice Project and pioneer behind the compassionate care movement shares an inspiring exploration of the lessons dying has to offer about living a fulfilling life. Death is not waiting for us at the end of a long road. Death is always with us, in the marrow of every...",Frank Ostaseski,Frank Ostaseski,,,,,,Finished,,,,,,,,,,,,,,,true,B01MYGJ6W4,,,,,https://audible.com/pd/B01MYGJ6W4?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B01MYGJ6W4,https://m.media-amazon.com/images/I/41nUhggv8yL._SL500_.jpg,https://www.goodreads.com/search?q=Frank%20Ostaseski%20-%20The%20Five%20Invitations%3A%20Discovering%20What%20Death%20Can%20Teach%20Us%20About%20Living%20Fully,,,,true
Main,325,Sunrise on the Reaping (The Hunger Games): A Hunger Games Novel,Sunrise on the Reaping (The Hunger Games): A Hunger Games Novel,The Hunger Games,∞,"As the day dawns on the fiftieth annual Hunger Games, fear grips the districts of Panem. This year, in honor of the Quarter Quell, twice as many tributes will be taken from their homes.",Suzanne Collins,Jefferson White,,,,,,3h 27m left,,,,,,,,,,,,,,,true,B0D6P455PH,,,,,https://audible.com/pd/B0D6P455PH?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B0D6P455PH,https://m.media-amazon.com/images/I/41oFuJ88q6L._SL500_.jpg,https://www.goodreads.com/search?q=Suzanne%20Collins%20-%20Sunrise%20on%20the%20Reaping%20(The%20Hunger%20Games)%3A%20A%20Hunger%20Games%20Novel,,,,true
Main,324,Surface Detail,Surface Detail,Culture (book 9),9,"It begins in the realm of the Real, where matter still matters. It begins with a murder. And it will not end until the Culture has gone to war with death itself. Lededje Y'breq is one of the Intagliated, her marked body bearing witness to a family shame, her life belonging to a man whose lust...",Iain M. Banks,Peter Kenny,,,,,20h 23m,,,,,,,,,,,,,,,,true,B00482T0DY,,,,,https://audible.com/pd/B00482T0DY?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B00482T0DY,https://m.media-amazon.com/images/I/51hpgAdTPSL._SL500_.jpg,https://www.goodreads.com/search?q=Iain%20M.%20Banks%20-%20Surface%20Detail,,,,true
